ambient_band,count,mean,median,p90,slope_w_per_c
<0,134979,1575.323608825829,1242.01409059136,2748.7723622340577,-70.75873187544778
0-10,1259331,2070.049218999126,1382.59223663378,5081.93745618514,61.86221301265978
10-20,1691656,2492.646261424294,1666.31933757265,6113.7893679698445,36.74018220080223
20-30,645350,2783.968545446647,2028.32325525907,6321.9854476264,8.316673466395068
30+,42038,3038.6354714134977,2202.052926699915,6521.714929033337,44.33776200360941
