stack_tier,ContainerSize,count,mean,median,p90
1.0,20.0,153334,2312.5905600569536,1590.5032858550649,4822.609950543151
1.0,40.0,1598729,2325.060954420544,1529.48893346336,5802.37020535574
1.0,45.0,1367,3095.6063890057367,2959.27926103546,4323.3947957214505
2.0,20.0,58916,2313.2401714836533,1593.508924302,5157.541340766929
2.0,40.0,1144130,2391.7254460543713,1576.16623488768,5912.33656550535
2.0,45.0,271,2594.569632625808,2376.87888947004,3664.45226217626
3.0,20.0,17063,2358.604200763012,1723.09192408145,4268.941903364116
3.0,40.0,786432,2455.8589120232077,1651.42085618205,5975.57528611263
