weather_band,count,mean,median,p90,wind_mean,delta_vs_neutral
<0,233,874.2798455730347,830.4720717805719,1022.8218326605732,3.646532584106985,-484.26058508646156
0-10,1267,1119.7932139248433,1088.0260037106507,1528.1365154439295,3.1089293414003247,-238.74721673465297
10-20,621,1358.5404306594962,1398.1624507055487,1676.4080731003694,3.11410398994295,0.0
